"","titles","authors","subjects","abstracts","metadata"
"1","dissecting deep rl with high update ratios: combatting value overestimation and divergence","marcel hussing, claas voelcker, igor gilitschenski, amir-massoud farahmand, eric eaton","machine learning (cs.lg)","we show that deep reinforcement learning can maintain its ability to learn without resetting network parameters in settings where the number of gradient updates greatly exceeds the number of environment samples. under such large update-to-data ratios, a recent study by nikishin et al. (2022) suggested the emergence of a primacy bias, in which agents overfit early interactions and downplay later experience, impairing their ability to learn. in this work, we dissect the phenomena underlying the primacy bias. we inspect the early stages of training that ought to cause the failure to learn and find that a fundamental challenge is a long-standing acquaintance: value overestimation. overinflated q-values are found not only on out-of-distribution but also in-distribution data and can be traced to unseen action prediction propelled by optimizer momentum. we employ a simple unit-ball normalization that enables learning under large update ratios, show its efficacy on the widely used dm_control suite, and obtain strong performance on the challenging dog tasks, competitive with model-based approaches. our results question, in parts, the prior explanation for sub-optimal learning due to overfitting on early data.","sat, 9 mar 2024 19:56:40 utc (6,450 kb)"
"2","a tunable reflection surface with independently variable phase and slope","omran abbas, anas chaaban, loic markley","signal processing (eess.sp)","a reconfigurable intelligent surface (ris) is an essential component in the architecture of the next generation of wireless communication systems. an ris is deployed to provide a controllability to the multi-path environment between the transmitter and the receiver, which becomes critical when the line-of-sight signal between them is blocked. in this work, we design an electrically tunable linearly polarized ris at 2.5 ghz that yields a controllable reflection phase and phase-frequency slope; in other words, we add tunability of the phase-frequency slope to the tunability of the resonance center frequency. the proposed design consists of two layers of unit cells placed over a ground plane, with dog-bone-shaped elements in the top layer and patch elements in the bottom layer. each patch and dog-bone element is loaded with a varactor, whose reverse bias voltage is controlled to provide a phase-frequency profile with a slope value of 9 degrees/mhz or 0.95 degrees/mhz, and a phase shift range of 320 degrees.","mon, 4 mar 2024 22:36:12 utc (24 kb)"
"3","overestimation, overfitting, and plasticity in actor-critic: the bitter lesson of reinforcement learning","michal nauman, michał bortkiewicz, mateusz ostaszewski, piotr miłoś, tomasz trzciński, marek cygan","machine learning (cs.lg)","recent advancements in off-policy reinforcement learning (rl) have significantly improved sample efficiency, primarily due to the incorporation of various forms of regularization that enable more gradient update steps than traditional agents. however, many of these techniques have been tested in limited settings, often on tasks from single simulation benchmarks and against well-known algorithms rather than a range of regularization approaches. this limits our understanding of the specific mechanisms driving rl improvements. to address this, we implemented over 60 different off-policy agents, each integrating established regularization techniques from recent state-of-the-art algorithms. we tested these agents across 14 diverse tasks from 2 simulation benchmarks. our findings reveal that while the effectiveness of a specific regularization setup varies with the task, certain combinations consistently demonstrate robust and superior performance. notably, a simple soft actor-critic agent, appropriately regularized, reliably solves dog tasks, which were previously solved mainly through model-based approaches.","fri, 1 mar 2024 13:25:10 utc (29,011 kb)"
"4","finer: investigating and enhancing fine-grained visual concept recognition in large vision language models","jeonghwan kim, heng ji","computer vision and pattern recognition (cs.cv)","recent advances in instruction-tuned large vision-language models (lvlms) have imbued the models with the ability to generate high-level, image-grounded explanations with ease. while such capability is largely attributed to the rich world knowledge contained within the large language models (llms), our work reveals their shortcomings in fine-grained visual categorization (fgvc) across six different benchmark settings. most recent state-of-the-art lvlms like llava-1.5, instructblip and gpt-4v not only severely deteriorate in terms of classification performance, e.g., average drop of 65.58 in em for stanford dogs for llava-1.5, but also struggle to generate an accurate explanation with detailed attributes based on the concept that appears within an input image despite their capability to generate holistic image-level descriptions. in-depth analyses show that instruction-tuned lvlms exhibit modality gap, showing discrepancy when given textual and visual inputs that correspond to the same concept, preventing the image modality from leveraging the rich parametric knowledge within the llms. in an effort to further the community's endeavor in this direction, we propose a multiple granularity attribute-centric evaluation benchmark, finer, which aims to establish a ground to evaluate lvlms' fine-grained visual comprehension ability and provide significantly improved explainability.","mon, 26 feb 2024 05:43:51 utc (28,563 kb)"
"5","phonetic and lexical discovery of a canine language using hubert","xingyuan li, sinong wang, zeyu xie, mengyue wu, kenny q. zhu","sound (cs.sd)","this paper delves into the pioneering exploration of potential communication patterns within dog vocalizations and transcends traditional linguistic analysis barriers, which heavily relies on human priori knowledge on limited datasets to find sound units in dog vocalization. we present a self-supervised approach with hubert, enabling the accurate classification of phoneme labels and the identification of vocal patterns that suggest a rudimentary vocabulary within dog vocalizations. our findings indicate a significant acoustic consistency in these identified canine vocabulary, covering the entirety of observed dog vocalization sequences. we further develop a web-based dog vocalization labeling system. this system can highlight phoneme n-grams, present in the vocabulary, in the dog audio uploaded by users.","sun, 25 feb 2024 04:35:45 utc (2,348 kb)"
"6","barking dogs: a fréchet distance variant for detour detection","ivor van der hoog, fabian klute, irene parada, patrick schnider","computational geometry (cs.cg)","imagine you are a dog behind a fence $q$ and a hiker is passing by at constant speed along the hiking path $p$. in order to fulfil your duties as a watchdog, you desire to bark as long as possible at the human. however, your barks can only be heard in a fixed radius $\rho$ and, as a dog, you have bounded speed $s$. can you optimize your route along the fence $q$ in order to maximize the barking time with radius $\rho$, assuming you can run backwards and forward at speed at most $s$? we define the barking distance from a polyline $p$ on $n$ vertices to a polyline $q$ on $m$ vertices as the time that the hiker stays in your barking radius if you run optimally along $q$. this asymmetric similarity measure between two curves can be used to detect outliers in $q$ compared to $p$ that other established measures like the fréchet distance and dynamic time warping fail to capture at times. we consider this measure in three different settings. in the discrete setting, the traversals of $p$ and $q$ are both discrete. for this case we show that the barking distance from $p$ to $q$ can be computed in $o(nm\log s)$ time. in the semi-discrete setting, the traversal of $q$ is continuous while the one of $p$ is again discrete. here, we show how to compute the barking distance in time $o(nm\log (nm))$. finally, in the continuous setting in which both traversals are continuous, we show that the problem can be solved in polynomial time. for all the settings we show that, assuming seth, no truly subquadratic algorithm can exist.","tue, 20 feb 2024 17:22:11 utc (528 kb)"
"7","see spot guide: accessible interfaces for an assistive quadruped robot","rayna hata, narit trikasemsak, andrea giudice, stacy a. doore","robotics (cs.ro)","while there is no replacement for the learned expertise, devotion, and social benefits of a guide dog, there are cases in which a robot navigation assistant could be helpful for individuals with blindness or low vision (blv). this study investigated the potential for an industrial agile robot to perform guided navigation tasks. we developed two interface prototypes that allowed for spatial information between a human-robot pair: a voice-based app and a flexible, responsive handle. the participants (n=21) completed simple navigation tasks and a post-study survey about the prototype functionality and their trust in the robot. all participants successfully completed the navigation tasks and demonstrated the interface prototypes were able to pass spatial information between the human and the robot. future work will include expanding the voice-based app to allow the robot to communicate obstacles to the handler and adding haptic signals to the handle design.","fri, 16 feb 2024 23:17:54 utc (6,976 kb)[v2] tue, 20 feb 2024 01:35:12 utc (6,976 kb)"
"8","point and instruct: enabling precise image editing by unifying direct manipulation and text instructions","alec helbling, seongmin lee, polo chau","artificial intelligence (cs.ai)","machine learning has enabled the development of powerful systems capable of editing images from natural language instructions. however, in many common scenarios it is difficult for users to specify precise image transformations with text alone. for example, in an image with several dogs, it is difficult to select a particular dog and move it to a precise location. doing this with text alone would require a complex prompt that disambiguates the target dog and describes the destination. however, direct manipulation is well suited to visual tasks like selecting objects and specifying locations. we introduce point and instruct, a system for seamlessly combining familiar direct manipulation and textual instructions to enable precise image manipulation. with our system, a user can visually mark objects and locations, and reference them in textual instructions. this allows users to benefit from both the visual descriptiveness of natural language and the spatial precision of direct manipulation.","mon, 5 feb 2024 16:23:07 utc (5,289 kb)"
"9","tuning-free stochastic optimization","ahmed khaled, chi jin","optimization and control (math.oc)","large-scale machine learning problems make the cost of hyperparameter tuning ever more prohibitive. this creates a need for algorithms that can tune themselves on-the-fly. we formalize the notion of ""tuning-free"" algorithms that can match the performance of optimally-tuned optimization algorithms up to polylogarithmic factors given only loose hints on the relevant problem parameters. we consider in particular algorithms that can match optimally-tuned stochastic gradient descent (sgd). when the domain of optimization is bounded, we show tuning-free matching of sgd is possible and achieved by several existing algorithms. we prove that for the task of minimizing a convex and smooth or lipschitz function over an unbounded domain, tuning-free optimization is impossible. we discuss conditions under which tuning-free optimization is possible even over unbounded domains. in particular, we show that the recently proposed dog and dowg algorithms are tuning-free when the noise distribution is sufficiently well-behaved. for the task of finding a stationary point of a smooth and potentially nonconvex function, we give a variant of sgd that matches the best-known high-probability convergence rate for tuned sgd at only an additional polylogarithmic cost. however, we also give an impossibility result that shows no algorithm can hope to match the optimal expected convergence rate for tuned sgd with high probability.","mon, 12 feb 2024 16:59:06 utc (66 kb)"
"10","complete instances mining for weakly supervised instance segmentation","zecheng li, zening zeng, yuqi liang, jin-gang yu","computer vision and pattern recognition (cs.cv)","weakly supervised instance segmentation (wsis) using only image-level labels is a challenging task due to the difficulty of aligning coarse annotations with the finer task. however, with the advancement of deep neural networks (dnns), wsis has garnered significant attention. following a proposal-based paradigm, we encounter a redundant segmentation problem resulting from a single instance being represented by multiple proposals. for example, we feed a picture of a dog and proposals into the network and expect to output only one proposal containing a dog, but the network outputs multiple proposals. to address this problem, we propose a novel approach for wsis that focuses on the online refinement of complete instances through the use of maskiou heads to predict the integrity scores of proposals and a complete instances mining (cim) strategy to explicitly model the redundant segmentation problem and generate refined pseudo labels. our approach allows the network to become aware of multiple instances and complete instances, and we further improve its robustness through the incorporation of an anti-noise strategy. empirical evaluations on the pascal voc 2012 and ms coco datasets demonstrate that our method achieves state-of-the-art performance with a notable margin. our implementation will be made available at this https url.","mon, 12 feb 2024 13:16:47 utc (10,083 kb)"
